# Hashed Passwords for Testing
# Format: hash,original_password,hash_type,description

# MD5 Hashes
5f4dcc3b5aa765d61d8327deb882cf99,password,md5,Common password 'password' in MD5
e10adc3949ba59abbe56e057f20f883e,123456,md5,Common password '123456' in MD5
d8578edf8458ce06fbc5bb76a58c5ca4,qwerty,md5,Common password 'qwerty' in MD5
482c811da5d5b4bc6d497ffa98491e38,password123,md5,Common password 'password123' in MD5
21232f297a57a5a743894a0e4a801fc3,admin,md5,Common password 'admin' in MD5
5d41402abc4b2a76b9719d911017c592,hello,md5,Simple word 'hello' in MD5
7815696ecbf1c96e6894b779456d330e,aaa,md5,Simple 'aaa' in MD5
202cb962ac59075b964b07152d234b70,123,md5,Simple '123' in MD5
cc03e747a6afbbcbf8be7668acfebee5,test123,md5,Test password 'test123' in MD5
8a24367a1f46c141048752f2d5bbd14b,P@ssw0rd!,md5,Complex password with special chars and numbers

# SHA1 Hashes
5baa61e4c9b93f3f0682250b6cf8331b7ee68fd8,password,sha1,Common password 'password' in SHA1
7c4a8d09ca3762af61e59520943dc26494f8941b,123456,sha1,Common password '123456' in SHA1
b1b3773a05c0ed0176787a4f1574ff0075f7521e,qwerty,sha1,Common password 'qwerty' in SHA1
cbfdac6008f9cab4083784cbd1874f76618d2a97,password123,sha1,Common password 'password123' in SHA1
d033e22ae348aeb5660fc2140aec35850c4da997,admin,sha1,Common password 'admin' in SHA1
7288edd0fc3ffcbe93a0cf06e3568e28521687bc,test123,sha1,Test password 'test123' in SHA1

# SHA256 Hashes
5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,password,sha256,Common password 'password' in SHA256
8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92,123456,sha256,Common password '123456' in SHA256
65e84be33532fb784c48129675f9eff3a682b27168c0ea744b2cf58ee02337c5,qwerty,sha256,Common password 'qwerty' in SHA256
ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,password123,sha256,Common password 'password123' in SHA256
8c6976e5b5410415bde908bd4dee15dfb167a9c873fc4bb8a81f6f2ab448a918,admin,sha256,Common password 'admin' in SHA256
ecd71870d1963316a97e3ac3408c9835ad8cf0f3c1bc703527c30265534f75ae,test123,sha256,Test password 'test123' in SHA256

# SHA512 Hashes
b109f3bbbc244eb82441917ed06d618b9008dd09b3befd1b5e07394c706a8bb980b1d7785e5976ec049b46df5f1326af5a2ea6d103fd07c95385ffab0cacbc86,password,sha512,Common password 'password' in SHA512
ba3253876aed6bc22d4a6ff53d8406c6ad864195ed144ab5c87621b6c233b548baeae6956df346ec8c17f5ea10f35ee3cbc514797ed7ddd3145464e2a0bab413,123456,sha512,Common password '123456' in SHA512
65e84be33532fb784c48129675f9eff3a682b27168c0ea744b2cf58ee02337c5,qwerty,sha512,Common password 'qwerty' in SHA512 (Note: This is actually SHA256, used for testing error handling)

# Incorrect format (for testing error handling)
invalidhash,badpassword,md5,This hash is not valid MD5 
