# Target Passwords for Testing
# Format: password,description

# Simple passwords (quick to crack with brute force)
a,Single lowercase letter
1,Single digit
A,Single uppercase letter
ab,Two lowercase letters
12,Two digits
Ab,Mixed case letters
a1,Lowercase and digit
A1,Uppercase and digit

# Medium complexity (may take a few seconds with brute force)
abc,Three lowercase letters
123,Three digits
Abc,Mixed case three letters
abc1,Three letters and a digit
a1b2,Alternating letters and digits
P@ss,Mixed with special character

# More complex (use for testing dictionary attack)
password123,Common password with numbers
qwerty,Keyboard pattern
letmein,Common phrase
abc123,Simple alphanumeric
admin123,Common admin password

# For demonstration only (too complex for quick brute force)
# Use dictionary attack for these
P@ssw0rd,Complex with special chars and numbers
Secur1ty!,Complex security-themed password 
